,Unnamed: 0,policy_id,customer_gender_male,customer_education,incident_type_collision,fraud,num_injuries,policy_liability,customer_gender_female,incident_severity,authorities_contacted_fire,collision_type_front,incident_type_theft,authorities_contacted_none,collision_type_rear,policy_state_or,policy_annual_premium,policy_state_az,incident_type_breakin,collision_type_na,driver_relationship_na,num_witnesses,months_as_customer,policy_state_nv,policy_state_id,incident_hour,incident_month,authorities_contacted_ambulance,driver_relationship_spouse,incident_day,policy_state_ca,driver_relationship_child,total_claim_amount,vehicle_claim,injury_claim,num_claims_past_year,customer_age,auto_year,police_report_available,incident_dow,num_vehicles_involved,num_insurers_past_5_years,collision_type_side,driver_relationship_self,policy_state_wa,policy_deductable,driver_relationship_other,authorities_contacted_police
0,0,3397,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2950,0,1,1,1,0,89,0,0,18,9,0,0,29,1,0,23683.0,16383.0,7300.0,0,30,2018,0,6,1,1,0,0,0,750,0,1
1,1,4142,0,4,1,0,4,1,1,1,0,0,0,0,0,0,2700,0,0,0,0,2,72,0,0,10,9,0,0,6,1,0,70982.0,15382.0,55600.0,0,46,2016,1,4,4,1,1,1,0,750,0,1
2,2,2389,1,4,1,0,0,2,0,0,0,0,0,1,1,1,3000,0,0,0,0,0,21,0,0,6,12,0,0,5,0,0,14441.0,7541.0,6900.0,0,46,2011,0,3,1,1,0,1,0,750,0,0
3,3,4164,1,4,1,1,0,0,0,1,0,0,0,0,1,0,3000,0,0,0,0,0,92,0,0,11,5,0,0,14,1,0,24354.0,10754.0,13600.0,1,49,2016,1,1,2,1,0,1,0,750,0,1
4,4,2702,0,3,0,0,0,0,1,0,0,0,0,1,0,0,2900,0,1,1,1,0,51,0,0,9,9,0,0,20,1,0,17548.0,14248.0,3300.0,0,23,2016,0,4,1,2,0,0,0,750,0,0
5,5,1244,0,3,1,0,0,2,1,1,0,0,0,0,1,0,3000,0,0,0,0,0,38,0,0,10,9,0,0,12,1,0,38246.0,19946.0,18300.0,0,35,2020,0,3,2,3,0,1,0,750,0,1
6,6,4658,0,1,1,0,3,3,1,2,0,0,0,0,0,0,3000,0,0,0,0,0,38,0,0,21,11,0,0,1,0,0,45637.0,32137.0,13500.0,1,45,2016,1,4,2,2,1,1,1,750,0,1
7,7,3446,0,3,0,0,0,1,1,1,0,0,1,0,0,0,3000,0,0,1,1,0,16,0,0,8,10,0,0,8,1,0,144307.0,4707.0,139600.0,1,20,2002,0,1,1,4,0,0,0,750,0,1
8,8,261,1,3,1,0,0,0,0,1,0,0,0,0,0,0,2650,0,0,0,0,0,45,0,0,19,2,0,0,20,1,0,25708.0,20308.0,5400.0,0,61,2016,0,2,2,3,1,1,0,750,0,1
9,9,3713,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2900,0,0,0,0,0,122,0,0,11,12,0,0,11,1,0,22933.0,17433.0,5500.0,0,38,2017,0,2,2,1,0,1,0,800,0,1
10,10,3950,0,3,1,0,1,0,1,2,1,1,0,0,0,0,3000,0,0,0,0,0,134,0,0,8,6,0,1,11,1,0,59144.0,41344.0,17800.0,0,46,2019,0,1,2,1,0,0,0,750,0,0
11,11,640,0,2,1,0,0,1,1,0,0,1,0,1,0,0,3000,0,0,0,0,0,188,0,0,11,1,0,0,29,0,0,28332.0,19732.0,8600.0,0,56,2017,0,1,2,1,0,1,1,750,0,0
12,12,4011,1,1,0,0,1,3,0,1,0,0,1,0,0,0,3000,0,0,1,1,0,68,0,0,15,1,0,0,7,1,0,24188.0,14788.0,9400.0,2,28,2017,0,0,1,1,0,0,0,750,0,1
13,13,2292,0,4,1,0,0,0,1,2,0,0,0,0,0,0,2850,0,0,0,0,3,68,0,0,3,9,0,0,11,1,0,35163.0,23263.0,11900.0,0,27,2013,1,2,3,1,1,1,0,750,0,1
14,14,957,0,1,1,0,0,0,1,0,0,1,0,1,0,0,2800,1,0,0,0,2,64,0,0,16,7,0,0,10,0,0,18424.0,9624.0,8800.0,0,24,2016,0,2,2,1,0,1,0,750,0,0
15,15,1008,1,4,1,0,1,1,0,1,0,0,0,0,0,0,2950,0,0,0,0,1,16,0,0,1,11,0,0,8,1,0,172251.0,15751.0,156500.0,0,24,2018,0,4,2,3,1,1,0,750,0,1
16,16,1026,1,4,1,0,0,1,0,0,0,0,0,1,0,0,3000,0,0,0,0,0,63,1,0,15,11,0,0,18,0,0,60888.0,7288.0,53600.0,1,47,2015,0,0,2,1,1,1,0,750,0,0
17,17,4377,1,4,1,0,1,0,0,2,0,0,0,0,0,0,2500,0,0,0,0,2,95,0,0,5,6,0,0,5,1,1,31628.0,27628.0,4000.0,0,47,2014,1,2,3,1,1,0,0,750,0,1
18,18,4384,0,3,0,0,0,1,1,0,0,0,0,0,0,0,2600,0,1,1,1,0,88,0,0,17,8,0,0,16,1,0,11950.0,7150.0,4800.0,0,46,2013,0,4,1,1,0,0,0,750,0,1
19,19,1177,1,4,1,0,4,1,0,1,0,1,0,0,0,0,2600,1,0,0,0,3,283,0,0,11,2,0,0,19,0,0,21176.0,11076.0,10100.0,0,69,2013,1,1,3,1,0,1,0,750,0,1
20,20,4869,0,4,1,0,2,1,0,2,0,1,0,0,0,0,3000,0,0,0,0,1,104,0,0,0,1,0,0,24,1,0,87946.0,25146.0,62800.0,0,31,2011,1,3,2,1,0,1,0,750,0,1
21,21,1545,0,1,1,0,2,1,0,1,0,0,0,0,1,0,3000,0,0,0,0,2,31,1,0,8,5,0,0,13,0,1,56914.0,18114.0,38800.0,0,37,2016,1,0,2,1,0,0,0,750,0,1
22,22,1548,0,3,0,0,0,2,1,0,0,0,0,0,0,0,3000,0,1,1,1,0,34,0,0,2,12,0,0,3,1,0,30788.0,15888.0,14900.0,0,38,2020,0,1,1,2,0,0,0,750,0,1
23,23,3449,0,3,1,0,1,1,1,2,0,1,0,0,0,0,3000,0,0,0,0,0,90,0,0,14,4,0,0,9,1,0,67253.0,33553.0,33700.0,0,62,2016,1,1,2,1,0,1,0,750,0,1
24,24,1907,0,4,1,0,1,0,1,2,1,1,0,0,0,0,3000,0,0,0,0,0,57,0,0,16,6,0,0,20,1,0,40925.0,36125.0,4800.0,0,37,2018,0,3,2,1,0,1,0,750,0,0
