fraud,customer_gender_male,customer_education,incident_type_collision,num_injuries,policy_liability,customer_gender_female,incident_severity,authorities_contacted_fire,collision_type_front,incident_type_theft,authorities_contacted_none,collision_type_rear,policy_state_or,policy_annual_premium,policy_state_az,incident_type_breakin,collision_type_na,driver_relationship_na,num_witnesses,months_as_customer,policy_state_nv,policy_state_id,incident_hour,incident_month,authorities_contacted_ambulance,driver_relationship_spouse,incident_day,policy_state_ca,driver_relationship_child,total_claim_amount,vehicle_claim,injury_claim,num_claims_past_year,customer_age,auto_year,police_report_available,incident_dow,num_vehicles_involved,num_insurers_past_5_years,collision_type_side,driver_relationship_self,policy_state_wa,policy_deductable,driver_relationship_other,authorities_contacted_police
0,0,3,1,1,0,0,2,0,0,0,0,1,0,2950,0,0,0,0,1,33,0,0,8,6,0,0,3,1,0,73869.0,40769.0,33100.0,0,30,2019,1,0,3,4,0,1,0,750,0,1
0,0,3,1,0,1,1,1,0,1,0,0,0,0,3000,0,0,0,0,1,185,0,0,15,4,0,0,12,1,0,42212.0,18612.0,23600.0,0,58,2020,1,4,2,1,0,1,0,750,0,1
0,0,3,1,0,1,1,1,0,1,0,0,0,0,2800,0,0,0,0,1,88,0,0,7,2,0,0,1,1,0,39821.0,21221.0,18600.0,0,31,2018,0,4,2,1,0,1,0,750,0,1
0,1,0,1,0,1,0,0,0,0,0,0,0,0,3000,0,0,0,0,2,51,0,0,13,10,0,0,16,0,0,17975.0,9575.0,8400.0,0,42,2018,1,2,3,1,1,0,1,750,1,1
0,1,3,0,0,1,0,1,0,0,1,0,0,0,3000,0,0,1,1,0,64,0,0,15,4,0,0,4,1,0,49807.0,8807.0,41000.0,0,56,2012,0,3,1,1,0,0,0,750,0,1
0,0,2,0,0,1,1,0,0,0,0,0,0,0,3000,0,1,1,1,0,95,0,0,5,9,0,0,30,1,0,21051.0,17451.0,3600.0,0,46,2016,0,0,1,1,0,0,0,750,0,1
0,1,2,1,2,1,0,2,0,0,0,0,1,0,3000,0,0,0,0,3,93,0,0,14,7,0,0,30,0,0,45587.0,32187.0,13400.0,1,53,2016,1,1,4,1,0,1,1,750,0,1
0,0,4,1,0,2,0,0,0,1,0,1,0,0,3000,0,0,0,0,0,56,0,0,9,3,0,0,6,1,0,27165.0,10065.0,17100.0,0,49,2016,0,2,1,1,0,1,0,750,0,0
0,0,2,1,0,2,1,1,0,1,0,0,0,0,3000,0,0,0,0,1,244,0,0,11,7,0,0,13,1,0,22364.0,18564.0,3800.0,0,55,2017,1,5,2,1,0,1,0,750,0,1
0,1,3,1,1,2,0,2,0,1,0,0,0,0,2950,0,0,0,0,0,240,0,0,15,11,0,0,19,1,0,66670.0,38670.0,28000.0,0,56,2019,1,1,3,1,0,1,0,750,0,1
0,0,1,1,1,0,1,0,0,1,0,1,0,0,3000,0,0,0,0,2,187,0,0,18,10,0,0,14,1,0,20250.0,19150.0,1100.0,0,66,2020,0,0,2,1,0,1,0,750,0,0
0,0,3,1,1,1,1,2,0,1,0,0,0,0,3000,0,0,0,0,0,129,0,0,15,1,0,0,10,1,0,31882.0,21582.0,10300.0,0,69,2012,1,3,3,1,0,1,0,750,0,1
0,0,4,1,1,2,1,1,0,1,0,0,0,0,3000,0,0,0,0,0,32,1,0,17,12,0,0,11,0,0,39282.0,6882.0,32400.0,0,26,2013,0,2,2,4,0,1,0,750,0,1
0,0,3,1,4,2,1,2,0,1,0,0,0,0,3000,0,0,0,0,1,84,0,1,13,10,0,0,16,0,0,38759.0,31459.0,7300.0,0,33,2017,1,2,3,1,0,1,0,750,0,1
0,1,4,0,0,2,0,0,0,0,0,1,0,0,3000,0,1,1,1,0,154,0,0,5,7,0,0,2,0,0,15692.0,12792.0,2900.0,0,50,2018,0,1,1,1,0,0,1,750,0,0
0,0,2,1,0,1,1,1,0,0,0,0,1,0,3000,1,0,0,0,1,14,0,0,14,5,0,0,7,0,0,30975.0,11275.0,19700.0,0,32,2011,1,1,2,4,0,1,0,750,0,1
0,0,3,1,0,1,1,1,0,0,0,0,1,0,3000,0,0,0,0,0,45,0,0,11,4,0,0,24,1,0,28680.0,20180.0,8500.0,1,39,2019,1,2,3,1,0,1,0,750,0,1
